Date,Close/Last,Volume,Open,High,Low
12/30/2016,$28.955,122223600,$29.1625,$29.30,$28.8575
12/29/2016,$29.1825,59918720,$29.1125,$29.2774,$29.10
12/28/2016,$29.19,82746040,$29.38,$29.5041,$29.05
12/27/2016,$29.315,72527880,$29.13,$29.45,$29.1225
12/23/2016,$29.13,56976200,$28.8975,$29.13,$28.8975
12/22/2016,$29.0725,104175280,$29.0875,$29.1275,$28.91
12/21/2016,$29.265,94897720,$29.20,$29.35,$29.195
12/20/2016,$29.2375,85349240,$29.185,$29.375,$29.17
12/19/2016,$29.16,111027040,$28.95,$29.345,$28.9375
12/16/2016,$28.9925,177138640,$29.1175,$29.125,$28.9112
12/15/2016,$28.955,185144600,$28.845,$29.1825,$28.8075
12/14/2016,$28.7975,135849480,$28.76,$29.05,$28.745
12/13/2016,$28.7975,173173400,$28.46,$28.98,$28.4375
12/12/2016,$28.325,104706760,$28.3225,$28.75,$28.1225
12/09/2016,$28.4875,137297400,$28.0775,$28.675,$28.0775
12/08/2016,$28.03,108199320,$27.715,$28.1075,$27.65
12/07/2016,$27.7575,119904120,$27.315,$27.7975,$27.29
12/06/2016,$27.4875,104642240,$27.375,$27.59,$27.2975
12/05/2016,$27.2775,136455520,$27.50,$27.5075,$27.0625
12/02/2016,$27.475,105925280,$27.2925,$27.5225,$27.2125
12/01/2016,$27.3725,148138080,$27.5912,$27.735,$27.2575
11/30/2016,$27.63,144605800,$27.90,$28.05,$27.5675
11/29/2016,$27.865,114031120,$27.695,$28.0075,$27.5175
11/28/2016,$27.8925,108217280,$27.8575,$28.1163,$27.8475
11/25/2016,$27.9475,45903680,$27.7825,$27.9675,$27.7375
11/23/2016,$27.8075,109682200,$27.84,$27.8775,$27.5825
11/22/2016,$27.95,103726840,$27.9875,$28.105,$27.85
11/21/2016,$27.9325,116656760,$27.53,$27.9975,$27.5025
11/18/2016,$27.515,113243360,$27.43,$27.635,$27.415
11/17/2016,$27.4875,110492600,$27.4525,$27.5875,$27.2075
11/16/2016,$27.4975,234896320,$26.675,$27.5575,$26.65
11/15/2016,$26.7775,128922360,$26.6425,$26.92,$26.5398
11/14/2016,$26.4275,203605520,$26.9275,$26.9522,$26.02
11/11/2016,$27.1075,136468120,$26.78,$27.2175,$26.6375
11/10/2016,$26.9475,228390960,$27.7725,$27.7725,$26.4575
11/09/2016,$27.72,236474960,$27.47,$27.83,$27.0125
11/08/2016,$27.765,96518520,$27.5775,$27.93,$27.425
11/07/2016,$27.6025,129447720,$27.52,$27.6275,$27.365
11/04/2016,$27.21,123163720,$27.1325,$27.5625,$27.0275
11/03/2016,$27.4575,106154800,$27.745,$27.865,$27.3875
11/02/2016,$27.8975,112699920,$27.85,$28.0875,$27.8075
11/01/2016,$27.8725,173615040,$28.365,$28.4425,$27.6325
10/31/2016,$28.385,105515640,$28.4125,$28.5575,$28.30
10/28/2016,$28.43,147168400,$28.4675,$28.8025,$28.3625
10/27/2016,$28.62,125584520,$28.8475,$28.965,$28.525
10/26/2016,$28.8975,264114560,$28.5775,$28.925,$28.3275
10/25/2016,$29.5625,187282400,$29.4875,$29.59,$29.3275
10/24/2016,$29.4125,93970600,$29.275,$29.435,$29.25
10/21/2016,$29.15,90110760,$29.2025,$29.2275,$29.07
10/20/2016,$29.265,96400600,$29.215,$29.345,$29.0825
10/19/2016,$29.28,79908640,$29.3125,$29.44,$28.45
10/18/2016,$29.3675,97232840,$29.545,$29.5525,$29.3625
10/17/2016,$29.3875,94335240,$29.3325,$29.46,$29.195
10/14/2016,$29.4075,142504080,$29.47,$29.5425,$29.2825
10/13/2016,$29.245,140167280,$29.1975,$29.36,$28.93
10/12/2016,$29.335,150051720,$29.3375,$29.495,$29.1875
10/11/2016,$29.075,255852040,$29.425,$29.6725,$29.05
10/10/2016,$29.0125,144351640,$28.755,$29.1875,$28.68
10/07/2016,$28.515,97345760,$28.5775,$28.64,$28.3775
10/06/2016,$28.4725,114034840,$28.425,$28.585,$28.2825
10/05/2016,$28.2625,85601640,$28.35,$28.415,$28.1725
10/04/2016,$28.25,118829080,$28.265,$28.5775,$28.1575
10/03/2016,$28.13,86538080,$28.1775,$28.2625,$28.07
09/30/2016,$28.2625,145362680,$28.115,$28.3425,$27.95
09/29/2016,$28.045,143400040,$28.29,$28.45,$27.95
09/28/2016,$28.4875,118433560,$28.4225,$28.66,$28.3575
09/27/2016,$28.2725,98349960,$28.25,$28.295,$28.085
09/26/2016,$28.22,119200960,$27.91,$28.3475,$27.8875
09/23/2016,$28.1775,209644280,$28.605,$28.6975,$27.8875
09/22/2016,$28.655,124192680,$28.5875,$28.735,$28.50
09/21/2016,$28.3875,143807600,$28.4625,$28.4973,$28.1103
09/20/2016,$28.3925,137976600,$28.2625,$28.53,$28.1275
09/19/2016,$28.395,187748760,$28.7975,$29.045,$28.3125
09/16/2016,$28.73,319055560,$28.78,$29.0325,$28.51
09/15/2016,$28.8925,361592680,$28.465,$28.9325,$28.3725
09/14/2016,$27.9425,444747600,$27.1825,$28.2575,$27.15
09/13/2016,$26.9875,248320640,$26.8775,$27.1975,$26.81
09/12/2016,$26.36,180458360,$25.6625,$26.43,$25.6325
09/09/2016,$25.7825,185846440,$26.16,$26.43,$25.7825
09/08/2016,$26.38,211821240,$26.8125,$26.8175,$26.31
09/07/2016,$27.09,169001920,$26.9575,$27.19,$26.7675
09/06/2016,$26.925,106580520,$26.975,$27.075,$26.8775
09/02/2016,$26.9325,105575080,$26.925,$27.00,$26.705
09/01/2016,$26.6825,106701000,$26.535,$26.70,$26.405
08/31/2016,$26.525,126556040,$26.415,$26.6425,$26.41
08/30/2016,$26.50,99271760,$26.45,$26.625,$26.375
08/29/2016,$26.705,99600520,$26.655,$26.86,$26.5725
08/26/2016,$26.735,110977200,$26.8525,$26.9875,$26.5775
08/25/2016,$26.8925,100006920,$26.8475,$26.97,$26.67
08/24/2016,$27.0075,94424960,$27.1412,$27.1875,$26.92
08/23/2016,$27.2125,84947400,$27.1475,$27.33,$27.1325
08/22/2016,$27.1275,103137680,$27.215,$27.275,$26.9625
08/19/2016,$27.34,100435560,$27.1925,$27.4225,$27.09
08/18/2016,$27.27,87673360,$27.3075,$27.40,$27.255
08/17/2016,$27.305,101314720,$27.275,$27.3425,$27.085
08/16/2016,$27.345,135018720,$27.4075,$27.5575,$27.3025
08/15/2016,$27.37,102817320,$27.035,$27.385,$27.02
08/12/2016,$27.045,74594800,$26.945,$27.11,$26.945
08/11/2016,$26.9825,109840280,$27.13,$27.2325,$26.9625
08/10/2016,$27.00,95359520,$27.1775,$27.225,$26.94
08/09/2016,$27.2025,105185040,$27.0575,$27.235,$27.0025
08/08/2016,$27.0925,112041720,$26.88,$27.0925,$26.79
08/05/2016,$26.87,158186440,$26.5675,$26.9125,$26.545
08/04/2016,$26.4675,107126920,$26.395,$26.50,$26.32
08/03/2016,$26.4475,120593440,$26.2025,$26.46,$26.1925
08/02/2016,$26.12,135080880,$26.5125,$26.5175,$26.00
08/01/2016,$26.5125,152075640,$26.1025,$26.5375,$26.1025
07/29/2016,$26.0525,110791880,$26.0475,$26.1375,$25.92
07/28/2016,$26.085,155087360,$25.7075,$26.1125,$25.705
07/27/2016,$25.7375,368575680,$26.0663,$26.0875,$25.6875
07/26/2016,$24.1675,213818480,$24.205,$24.4925,$24.105
07/25/2016,$24.335,161162320,$24.5625,$24.71,$24.23
07/22/2016,$24.665,112872960,$24.815,$24.825,$24.5775
